#Name: waxd.dat
#ProfileType: 3
#ScatteringType:0
#Wavelength: 0.124
#PlotSize: 1374
#PixelSize: 0.172
#xUnit: pixel
#SampleDistance: 5454.6
#IntSartAngle:0
#IntTermAngle:6.283
#Integrated Intensity
#q(1/nm)	Intensity	sigma
#-------------------
1.3689	6.488	0.079
1.3705	6.621	0.079
1.3721	6.669	0.080
1.3737	6.612	0.079
1.3753	6.527	0.078
1.3769	6.600	0.080
1.3785	6.567	0.079
1.3801	6.595	0.079
1.3817	6.614	0.080
1.3833	6.451	0.079
1.3849	6.583	0.081
1.3865	6.484	0.079
1.3881	6.468	0.079
1.3897	6.445	0.079
1.3913	6.525	0.080
1.3929	6.388	0.080
1.3945	6.451	0.079
1.3961	6.423	0.080
1.3977	6.393	0.079
1.3993	6.346	0.080
1.4009	6.598	0.081
1.4025	6.372	0.080
1.4041	6.303	0.080
1.4057	6.369	0.080
1.4073	6.256	0.079
1.4089	6.342	0.080
1.4105	6.314	0.080
1.4120	6.190	0.080
1.4136	6.323	0.080
1.4152	6.266	0.080
1.4168	6.398	0.081
1.4184	6.286	0.081
1.4200	6.270	0.081
1.4216	6.163	0.080
1.4232	6.220	0.081
1.4248	6.363	0.081
1.4264	6.157	0.081
1.4280	6.161	0.080
1.4296	5.994	0.079
1.4312	6.242	0.082
1.4328	6.354	0.081
1.4344	6.037	0.080
1.4360	6.086	0.080
1.4376	5.974	0.080
1.4392	6.001	0.081
1.4408	5.935	0.079
1.4424	5.994	0.080
1.4440	6.045	0.081
1.4456	5.884	0.080
1.4472	5.991	0.081
1.4488	6.031	0.081
1.4504	5.855	0.081
1.4520	5.798	0.079
1.4536	5.948	0.081
1.4551	5.995	0.081
1.4567	5.871	0.081
1.4583	6.113	0.083
1.4599	5.955	0.081
1.4615	5.833	0.081
1.4631	6.020	0.081
1.4647	5.953	0.082
1.4663	6.026	0.082
1.4679	6.004	0.082
1.4695	5.942	0.082
1.4711	6.094	0.083
1.4727	5.939	0.083
1.4743	6.015	0.082
1.4759	5.965	0.082
1.4775	5.871	0.082
1.4791	5.876	0.081
1.4807	5.900	0.082
1.4823	5.915	0.081
1.4839	5.947	0.082
1.4855	5.809	0.082
1.4871	5.795	0.081
1.4887	5.843	0.082
1.4903	5.743	0.081
1.4919	5.935	0.082
1.4935	5.808	0.081
1.4951	5.846	0.081
1.4967	5.667	0.081
1.4982	5.447	0.079
1.4998	5.328	0.078
1.5014	5.326	0.078
1.5030	5.156	0.077
1.5046	5.006	0.076
1.5062	4.979	0.075
1.5078	4.927	0.076
